name,type,epoch,a,e,inc,l,w,omega,aDot,eDot,iDot,lDot,wDot,omegaDot,b,c,s,f,axisRA,axisDec,phase,thetaDot,radius,ringRadius,H,mass,info,wiki,wikipic,texture,ringTexture,zoomRatio
Mercury,0,51544.5,0.38709927,0.20563593,7.00497902,252.2503235,77.45779628,48.33076593,3.7E-07,1.906E-05,-0.00594749,149472.67411175,0.16047689,-0.12534081,0,0,0,0,281.01,61.42,0,224209.664768271,2439.7,0,-0.613,330.11,Terrestrial planet,Mercury_(planet),thumb/d/d9/Mercury_in_color_-_Prockter07-edit1.jpg/330px-Mercury_in_color_-_Prockter07-edit1.jpg,1k_mercury.jpg,,2000
Venus,0,51544.5,0.72333566,0.00677672,3.39467605,181.9790995,131.60246718,76.67984255,3.9E-06,-4.107E-05,-0.0007889,58517.81538729,0.00268329,-0.27769418,0,0,0,0,272.76,67.16,0,-54105.5446970476,6051.8,0,-4.384,4867.5,Terrestrial planet,Venus,thumb/a/a9/PIA23791-Venus-NewlyProcessedView-20200608.jpg/330px-PIA23791-Venus-NewlyProcessedView-20200608.jpg,1k_venus_atmosphere.jpg,,1500
Earth,0,51544.5,1.00000261,0.01671123,-1.531E-05,100.46457166,102.93768193,0,5.62E-06,-4.392E-05,-0.01294668,35999.37244981,0.32327364,0,0,0,0,0,0,90,0,13392332.9009502,6371,0,-3.99,5972.37,Terrestrial planet,Earth,thumb/9/97/The_Earth_seen_from_Apollo_17.jpg/330px-The_Earth_seen_from_Apollo_17.jpg,1k_earth.jpg,,250
Mars,0,51544.5,1.52371034,0.0933941,1.84969142,-4.55343205,-23.94362959,49.55953891,1.847E-05,7.882E-05,-0.00813131,19140.30268499,0.44441088,-0.29257343,0,0,0,0,317.68,52.89,90,12816326.6101796,3389.5,0,-1.601,641.71,Terrestrial planet,Mars,thumb/0/02/OSIRIS_Mars_true_color.jpg/330px-OSIRIS_Mars_true_color.jpg,1k_mars.jpg,,1000
Jupiter,0,51544.5,5.202887,0.04838624,1.30439695,34.39644051,14.72847983,100.47390909,-0.00011607,-0.00013253,-0.00183714,3034.74612775,0.21252668,0.20469106,0,0,0,0,268.05,64.49,0,31796070.5289673,69911,1.845,-9.395,1898200,Ringed gas giant planet,Jupiter,thumb/2/2b/Jupiter_and_its_shrunken_Great_Red_Spot.jpg/330px-Jupiter_and_its_shrunken_Great_Red_Spot.jpg,1k_jupiter.jpg,512_simple_ring.png,5
Saturn,0,51544.5,9.53667594,0.05386179,2.48599187,49.95424423,92.59887831,113.66242448,-0.0012506,-0.00050991,0.00193609,1222.49362201,-0.41897216,-0.28867794,0,0,0,0,40.6,83.54,0,29881883.7244976,58232,3.07,-8.914,568340,Ringed gas giant planet,Saturn,thumb/c/c7/Saturn_during_Equinox.jpg/450px-Saturn_during_Equinox.jpg,1k_saturn.jpg,1k_saturn_ring_alpha.png,5
Uranus,0,51544.5,19.18916464,0.04725744,0.77263783,313.23810451,170.9542763,74.01692503,-0.00196176,-4.397E-05,-0.00242939,428.48202785,0.40805281,0.04240589,0,0,0,0,257.43,-15.1,0,-18304957.3315885,25362,2.76,-7.11,86810,Ringed ice giant planet,Uranus,thumb/3/3d/Uranus2.jpg/330px-Uranus2.jpg,1k_uranus.jpg,512_uranus_ring_alpha.png,8
Neptune,0,51544.5,30.06992276,0.00859048,1.77004347,-55.12002969,44.96476227,131.78422574,0.00026291,5.105E-05,0.00035372,218.45945325,-0.32241464,-0.00508664,0,0,0,0,299.36,43.46,0,19587367.7938329,24622,2.56,-7,102413,Ringed ice giant planet,Neptune,thumb/6/63/Neptune_-_Voyager_2_%2829347980845%29_flatten_crop.jpg/330px-Neptune_-_Voyager_2_%2829347980845%29_flatten_crop.jpg,1k_neptune.jpg,512_simple_ring.png,6
Pluto,1,51544.5,39.48211675,0.2488273,17.14001206,238.92903833,224.06891629,110.30393684,-0.00031596,5.17E-05,4.818E-05,145.20780515,-0.04062942,-0.01183482,0,0,0,0,-312.99,-6.16,0,2058638.87788603,1188.3,0,-0.7,130.3,Dwarf planet (134340),Pluto,thumb/e/ef/Pluto_in_True_Color_-_High-Res.jpg/330px-Pluto_in_True_Color_-_High-Res.jpg,1k_pluto.jpg,,1000
